Group,Device,Reading,DateTime
1,15,21.12,21/3/2024 16/28
1,16,20.62,21/3/2024 16/28
1,17,21.25,21/3/2024 16/28
1,18,20.5,21/3/2024 16/28
1,19,20.81,21/3/2024 16/28
1,20,20.81,21/3/2024 16/28
1,21,20.5,21/3/2024 16/28
1,22,20.37,21/3/2024 16/28
1,0,20.75,21/3/2024 16/30
1,1,21.19,21/3/2024 16/30
1,2,21.25,21/3/2024 16/30
1,3,21.81,21/3/2024 16/30
1,4,20.56,21/3/2024 16/30
1,5,20.69,21/3/2024 16/30
1,6,21.06,21/3/2024 16/30
1,7,21.06,21/3/2024 16/30
1,8,21,21/3/2024 16/30
1,9,20.62,21/3/2024 16/30
1,10,20.87,21/3/2024 16/30
1,11,21.25,21/3/2024 16/30
1,12,20.25,21/3/2024 16/30
1,13,20.75,21/3/2024 16/30
1,14,21.31,21/3/2024 16/30
1,15,21.12,21/3/2024 16/30
1,16,20.56,21/3/2024 16/30
1,17,21.25,21/3/2024 16/30
1,18,20.44,21/3/2024 16/30
1,19,20.87,21/3/2024 16/30
1,20,20.81,21/3/2024 16/30
1,21,20.5,21/3/2024 16/30
1,22,20.44,21/3/2024 16/30
1,0,20.69,21/3/2024 16/23
1,1,20.44,21/3/2024 16/23
1,2,20.62,21/3/2024 16/23
1,3,21.37,21/3/2024 16/23
1,4,19.81,21/3/2024 16/23
1,5,20.87,21/3/2024 16/23
1,6,20.44,21/3/2024 16/23
1,7,20.44,21/3/2024 16/23
1,8,20.94,21/3/2024 16/23
1,9,20.81,21/3/2024 16/23
1,10,20.87,21/3/2024 16/23
1,11,20.56,21/3/2024 16/23
1,12,20.06,21/3/2024 16/23
1,13,20.69,21/3/2024 16/23
1,14,20.69,21/3/2024 16/23
1,15,20.44,21/3/2024 16/23
1,16,20.19,21/3/2024 16/23
1,17,20.5,21/3/2024 16/23
1,18,20.06,21/3/2024 16/23
1,19,20.31,21/3/2024 16/23
1,20,20.12,21/3/2024 16/23
1,21,20.75,21/3/2024 16/23
1,22,20.5,21/3/2024 16/23
1,0,20.69,21/3/2024 16/24
1,1,20.5,21/3/2024 16/24
1,2,20.62,21/3/2024 16/24
1,3,21.44,21/3/2024 16/24
1,5,20.87,21/3/2024 16/24
1,6,20.5,21/3/2024 16/24
1,7,20.44,21/3/2024 16/24
1,8,20.94,21/3/2024 16/24
1,9,20.87,21/3/2024 16/24
1,10,20.94,21/3/2024 16/24
1,11,20.56,21/3/2024 16/24
1,12,20,21/3/2024 16/24
1,13,20.62,21/3/2024 16/24
1,14,20.81,21/3/2024 16/24
1,15,20.5,21/3/2024 16/24
1,16,20.19,21/3/2024 16/24
1,17,20.5,21/3/2024 16/24
1,18,20.12,21/3/2024 16/24
1,19,20.37,21/3/2024 16/24
1,20,20.12,21/3/2024 16/24
1,21,20.81,21/3/2024 16/24
1,22,20.5,21/3/2024 16/24
1,0,20.69,21/3/2024 16/26
1,1,20.56,21/3/2024 16/26
1,2,20.62,21/3/2024 16/26
1,3,21.37,21/3/2024 16/26
1,4,19.81,21/3/2024 16/26
1,5,20.87,21/3/2024 16/26
1,6,20.56,21/3/2024 16/26
1,7,20.5,21/3/2024 16/26
1,8,20.94,21/3/2024 16/26
1,9,20.87,21/3/2024 16/26
1,10,20.87,21/3/2024 16/26
1,11,20.62,21/3/2024 16/26
1,12,20,21/3/2024 16/26
1,13,20.62,21/3/2024 16/26
1,14,20.75,21/3/2024 16/26
1,15,20.44,21/3/2024 16/26
1,16,20.19,21/3/2024 16/26
1,17,20.5,21/3/2024 16/26
1,18,20.12,21/3/2024 16/26
1,19,20.37,21/3/2024 16/26
1,20,20.19,21/3/2024 16/26
1,21,20.81,21/3/2024 16/26
1,22,20.5,21/3/2024 16/26
1,0,20.69,21/3/2024 16/27
1,1,20.5,21/3/2024 16/27
1,2,20.62,21/3/2024 16/27
1,3,21.37,21/3/2024 16/27
1,4,19.81,21/3/2024 16/27
1,5,20.87,21/3/2024 16/27
1,6,20.56,21/3/2024 16/27
1,7,20.44,21/3/2024 16/27
1,8,20.94,21/3/2024 16/27
1,9,20.87,21/3/2024 16/27
1,10,20.87,21/3/2024 16/27
1,11,20.56,21/3/2024 16/27
1,12,20,21/3/2024 16/27
1,13,20.62,21/3/2024 16/27
1,14,20.75,21/3/2024 16/27
1,15,20.44,21/3/2024 16/27
1,16,20.12,21/3/2024 16/27
1,17,20.5,21/3/2024 16/27
1,18,20.12,21/3/2024 16/27
1,19,20.31,21/3/2024 16/27
1,20,20.12,21/3/2024 16/27
1,21,20.81,21/3/2024 16/27
1,22,20.5,21/3/2024 16/27
1,0,20.62,21/3/2024 16/28
1,1,20.5,21/3/2024 16/28
1,2,20.62,21/3/2024 16/28
1,3,21.37,21/3/2024 16/28
1,4,19.81,21/3/2024 16/28
1,5,20.87,21/3/2024 16/28
1,6,20.5,21/3/2024 16/28
1,8,20.94,21/3/2024 16/28
1,9,20.94,21/3/2024 16/28
1,10,20.87,21/3/2024 16/28
1,11,20.56,21/3/2024 16/28
1,12,19.94,21/3/2024 16/28
1,13,20.62,21/3/2024 16/28
1,14,20.81,21/3/2024 16/28
1,15,20.44,21/3/2024 16/28
1,16,20.19,21/3/2024 16/28
1,17,20.44,21/3/2024 16/28
1,18,20.06,21/3/2024 16/28
1,19,20.31,21/3/2024 16/28
1,20,20.12,21/3/2024 16/28
1,21,20.87,21/3/2024 16/28
1,0,20.69,21/3/2024 16/30
1,1,20.56,21/3/2024 16/30
1,2,20.69,21/3/2024 16/30
1,3,21.37,21/3/2024 16/30
1,4,19.87,21/3/2024 16/30
1,5,20.87,21/3/2024 16/30
1,6,20.5,21/3/2024 16/30
1,7,20.44,21/3/2024 16/30
1,8,20.94,21/3/2024 16/30
1,9,21,21/3/2024 16/30
1,10,20.94,21/3/2024 16/30
1,11,20.56,21/3/2024 16/30
1,12,20,21/3/2024 16/30
1,13,20.62,21/3/2024 16/30
1,14,37.63,21/3/2024 16/30
1,15,20.44,21/3/2024 16/30
1,16,20.19,21/3/2024 16/30
1,17,20.5,21/3/2024 16/30
1,18,20.12,21/3/2024 16/30
1,19,20.37,21/3/2024 16/30
1,20,20.12,21/3/2024 16/30
1,21,20.81,21/3/2024 16/30
1,22,20.5,21/3/2024 16/30
1,0,20.69,21/3/2024 16/31
1,1,20.56,21/3/2024 16/31
1,2,20.62,21/3/2024 16/31
1,3,21.37,21/3/2024 16/31
1,4,19.81,21/3/2024 16/31
1,5,20.87,21/3/2024 16/31
1,6,20.56,21/3/2024 16/31
1,7,20.5,21/3/2024 16/31
1,8,20.94,21/3/2024 16/31
1,9,20.94,21/3/2024 16/31
1,10,20.94,21/3/2024 16/31
1,11,20.62,21/3/2024 16/31
1,12,20,21/3/2024 16/31
1,13,20.69,21/3/2024 16/31
1,14,56.81,21/3/2024 16/31
1,15,20.44,21/3/2024 16/31
1,16,20.19,21/3/2024 16/31
1,17,20.5,21/3/2024 16/31
1,18,20.19,21/3/2024 16/31
1,19,20.31,21/3/2024 16/31
1,20,20.19,21/3/2024 16/31
1,21,20.81,21/3/2024 16/31
1,22,20.5,21/3/2024 16/31
1,0,20.69,21/3/2024 16/32
1,1,20.5,21/3/2024 16/32
1,2,20.62,21/3/2024 16/32
1,3,21.37,21/3/2024 16/32
1,4,19.87,21/3/2024 16/32
1,5,20.94,21/3/2024 16/32
1,6,20.56,21/3/2024 16/32
1,7,20.44,21/3/2024 16/32
1,8,20.94,21/3/2024 16/32
1,9,20.87,21/3/2024 16/32
1,10,20.87,21/3/2024 16/32
1,11,20.56,21/3/2024 16/32
1,12,20.06,21/3/2024 16/32
1,13,20.62,21/3/2024 16/32
